UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-4.751771,0.062182,-4.633058,0.234623
-4.751595,0.06691,-4.632618,0.231037
-4.75142,0.071624,-4.632178,0.231896
-4.751244,0.076332,-4.631739,0.236324
-4.751068,0.081062,-4.631299,0.241421
-4.750892,0.085519,-4.630859,0.250438
-4.750716,0.088582,-4.63042,0.258472
-4.75054,0.089967,-4.62998,0.262314
-4.750364,0.091336,-4.62954,0.257603
-4.750189,0.09272,-4.629101,0.255144
-4.750013,0.094101,-4.628661,0.258657
-4.749837,0.094616,-4.628222,0.2649
-4.749661,0.089429,-4.627782,0.269518
-4.749485,0.071671,-4.627342,0.266557
-4.74931,0.051119,-4.626903,0.264526
-4.749134,0.030558,-4.626463,0.264076
-4.748958,0.010059,-4.626023,0.265846
-4.748782,-0.010663,-4.625584,0.271666
-4.748606,-0.024777,-4.625144,0.282094
-4.74843,-0.028464,-4.624704,0.289958
-4.748254,-0.012893,-4.624265,0.289747
-4.748078,0.002668,-4.623825,0.274192
-4.747902,0.018233,-4.623385,0.266872
-4.747726,0.033806,-4.622945,0.267595
-4.747551,0.049398,-4.622506,0.275342
-4.747375,0.052814,-4.622066,0.279417
-4.747199,0.044362,-4.621626,0.280241
-4.747023,0.028608,-4.621187,0.278083
-4.746847,0.012584,-4.620747,0.273089
-4.746672,-0.00323,-4.620307,0.265628
-4.746496,-0.018899,-4.619868,0.264108
-4.74632,-0.033115,-4.619428,0.266616
-4.746144,-0.044105,-4.618989,0.271881
-4.745968,-0.048938,-4.618549,0.277705
-4.745792,-0.053695,-4.618109,0.283551
-4.745616,-0.058448,-4.61767,0.289445
-4.74544,-0.063228,-4.61723,0.295393
-4.745265,-0.068054,-4.61679,0.301385
-4.745089,-0.063253,-4.616351,0.298623
-4.744913,-0.047954,-4.615911,0.291816
-4.744737,-0.021916,-4.615471,0.285089
-4.744561,0.003876,-4.615032,0.286985
-4.744385,0.029892,-4.614592,0.293702
-4.744209,0.055887,-4.614152,0.296835
-4.744034,0.079583,-4.613713,0.295969
-4.743858,0.083037,-4.613273,0.292359
-4.743682,0.067469,-4.612833,0.299784
-4.743506,0.045784,-4.612393,0.311006
-4.74333,0.024025,-4.611954,0.31906
-4.743155,0.002832,-4.611514,0.315034
-4.742979,-0.018605,-4.611074,0.305041
-4.742803,-0.035974,-4.610635,0.296316
-4.742627,-0.047198,-4.610195,0.288565
-4.742451,-0.050716,-4.609756,0.281268
-4.742275,-0.054281,-4.609316,0.289208
-4.742099,-0.057885,-4.608876,0.300391
-4.741923,-0.061494,-4.608437,0.309198
-4.741747,-0.065017,-4.607997,0.311266
-4.741571,-0.05526,-4.607557,0.31055
-4.741396,-0.037888,-4.607118,0.309004
-4.74122,-0.015897,-4.606678,0.30707
-4.741044,0.006395,-4.606238,0.304377
-4.740868,0.028069,-4.605799,0.294725
-4.740692,0.049928,-4.605359,0.284437
-4.740517,0.06596,-4.604919,0.284931
-4.740341,0.065785,-4.60448,0.299948
-4.740165,0.051458,-4.60404,0.318018
-4.739989,0.036573,-4.603601,0.320599
-4.739813,0.021762,-4.603161,0.318243
-4.739637,0.006751,-4.602721,0.315409
-4.739461,-0.008184,-4.602281,0.316692
-4.739285,-0.016657,-4.601841,0.318289
-4.73911,-0.019601,-4.601402,0.316429
-4.738934,-0.018068,-4.600962,0.311193
-4.738758,-0.016541,-4.600523,0.305541
-4.738582,-0.015048,-4.600083,0.308857
-4.738406,-0.013555,-4.599643,0.31379
-4.73823,-0.011631,-4.599204,0.316815
-4.738054,-0.002764,-4.598764,0.312851
-4.737879,0.010637,-4.598324,0.308608
-4.737703,0.025522,-4.597885,0.304522
-4.737527,0.040185,-4.597445,0.300633
-4.737351,0.055143,-4.597005,0.297012
-4.737175,0.070055,-4.596566,0.29453
-4.737,0.081679,-4.596126,0.29249
-4.736824,0.089074,-4.595686,0.290315
-4.736648,0.092125,-4.595247,0.30219
-4.736472,0.095233,-4.594807,0.3179
-4.736296,0.098309,-4.594368,0.331434
-4.73612,0.101337,-4.593928,0.330454
-4.735944,0.104357,-4.593488,0.328393
-4.735768,0.093023,-4.593049,0.32199
