UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-4.775495,0.316965,-4.692393,-0.167335
-4.775319,0.317421,-4.691953,-0.172616
-4.775143,0.317884,-4.691514,-0.173532
-4.774967,0.318347,-4.691074,-0.165396
-4.774792,0.318794,-4.690634,-0.161128
-4.774616,0.318814,-4.690194,-0.161223
-4.77444,0.315697,-4.689754,-0.165534
-4.774264,0.311268,-4.689315,-0.1665
-4.774088,0.306849,-4.688875,-0.165449
-4.773912,0.30244,-4.688436,-0.162152
-4.773736,0.298041,-4.687996,-0.158102
-4.773561,0.293822,-4.687556,-0.153227
-4.773385,0.290172,-4.687117,-0.152568
-4.773209,0.289496,-4.686677,-0.161892
-4.773033,0.288807,-4.686237,-0.188917
-4.772857,0.288123,-4.685798,-0.203235
-4.772681,0.287448,-4.685358,-0.203616
-4.772505,0.286758,-4.684918,-0.189617
-4.772329,0.286112,-4.684479,-0.177866
-4.772153,0.27419,-4.684039,-0.168472
-4.771978,0.250314,-4.683599,-0.163048
-4.771802,0.226475,-4.683159,-0.162826
-4.771626,0.202674,-4.68272,-0.169486
-4.77145,0.179255,-4.68228,-0.171405
-4.771274,0.155891,-4.68184,-0.168959
-4.771099,0.131486,-4.681401,-0.163425
-4.770923,0.124423,-4.680961,-0.162403
-4.770747,0.119812,-4.680521,-0.165408
-4.770571,0.115176,-4.680082,-0.170792
-4.770395,0.110443,-4.679642,-0.177952
-4.770219,0.10584,-4.679203,-0.186954
-4.770043,0.105642,-4.678763,-0.190587
-4.769867,0.114853,-4.678323,-0.190381
-4.769691,0.140581,-4.677883,-0.188672
-4.769516,0.166282,-4.677444,-0.192378
-4.76934,0.192424,-4.677004,-0.200038
-4.769164,0.21858,-4.676564,-0.199609
-4.768988,0.244229,-4.676125,-0.189576
-4.768812,0.263701,-4.675685,-0.171916
-4.768636,0.268493,-4.675245,-0.164761
-4.76846,0.26691,-4.674806,-0.162561
-4.768285,0.265327,-4.674366,-0.164078
-4.768109,0.263701,-4.673926,-0.168384
-4.767933,0.262108,-4.673487,-0.17407
-4.767757,0.260715,-4.673047,-0.177437
-4.767581,0.259773,-4.672607,-0.178814
-4.767405,0.260578,-4.672168,-0.179097
-4.76723,0.261399,-4.671728,-0.181827
-4.767054,0.262227,-4.671288,-0.185199
-4.766878,0.263051,-4.670848,-0.187155
-4.766702,0.263855,-4.670409,-0.185488
-4.766526,0.26184,-4.669969,-0.181995
-4.76635,0.250324,-4.669529,-0.181462
-4.766174,0.229409,-4.66909,-0.182827
-4.765998,0.206836,-4.66865,-0.185242
-4.765822,0.18474,-4.668211,-0.189555
-4.765646,0.162523,-4.667771,-0.194161
-4.765471,0.140484,-4.667331,-0.195961
-4.765295,0.122444,-4.666892,-0.1934
-4.765119,0.121789,-4.666452,-0.189284
-4.764943,0.126023,-4.666012,-0.183889
-4.764767,0.130181,-4.665572,-0.178126
-4.764592,0.134243,-4.665133,-0.173892
-4.764416,0.138393,-4.664693,-0.180242
-4.76424,0.141645,-4.664253,-0.187531
-4.764064,0.142596,-4.663814,-0.19053
-4.763888,0.136066,-4.663374,-0.188432
-4.763712,0.129387,-4.662934,-0.185892
-4.763536,0.122754,-4.662495,-0.190347
-4.763361,0.116212,-4.662055,-0.196196
-4.763185,0.109666,-4.661615,-0.199092
-4.763009,0.099246,-4.661176,-0.189891
-4.762833,0.083018,-4.660736,-0.180785
-4.762657,0.06074,-4.660296,-0.17756
-4.762481,0.03844,-4.659856,-0.179232
-4.762305,0.016116,-4.659417,-0.18117
-4.762129,-0.006229,-4.658977,-0.186093
-4.761953,-0.02771,-4.658537,-0.191094
-4.761778,-0.043813,-4.658098,-0.194917
-4.761602,-0.047749,-4.657658,-0.195805
-4.761426,-0.048941,-4.657218,-0.196643
-4.76125,-0.050108,-4.656779,-0.197025
-4.761074,-0.051335,-4.656339,-0.197166
-4.760899,-0.052564,-4.6559,-0.197369
-4.760723,-0.049645,-4.65546,-0.198084
-4.760547,-0.039583,-4.65502,-0.20006
-4.760371,-0.016433,-4.654581,-0.206652
-4.760195,0.007283,-4.65414,-0.220821
-4.760019,0.030821,-4.653701,-0.232091
-4.759843,0.053971,-4.653261,-0.230193
-4.759667,0.076657,-4.652822,-0.223382
-4.759491,0.092032,-4.652382,-0.218382
-4.759315,0.097728,-4.651942,-0.223935
-4.75914,0.094416,-4.651503,-0.22783
-4.758964,0.091018,-4.651063,-0.227452
-4.758788,0.08769,-4.650623,-0.222012
-4.758612,0.084371,-4.650184,-0.218036
-4.758436,0.081307,-4.649744,-0.218343
-4.75826,0.079274,-4.649304,-0.216903
-4.758085,0.07821,-4.648865,-0.209887
-4.757909,0.077294,-4.648425,-0.190273
-4.757733,0.076354,-4.647985,-0.183387
-4.757557,0.075433,-4.647545,-0.195759
-4.757381,0.074489,-4.647106,-0.223067
-4.757205,0.07312,-4.646666,-0.240487
-4.75703,0.071223,-4.646226,-0.235008
-4.756854,0.068719,-4.645787,-0.227173
-4.756678,0.066208,-4.645347,-0.222559
-4.756502,0.06369,-4.644907,-0.224592
-4.756326,0.061166,-4.644468,-0.221794
-4.75615,0.058635,-4.644028,-0.212182
-4.755974,0.046593,-4.643589,-0.200462
-4.755798,0.029543,-4.643149,-0.197102
-4.755622,0.00954,-4.642709,-0.212409
-4.755446,-0.010146,-4.642269,-0.223442
-4.755271,-0.029912,-4.641829,-0.22599
-4.755095,-0.049736,-4.64139,-0.217044
-4.754919,-0.062715,-4.64095,-0.21543
-4.754743,-0.059417,-4.640511,-0.22051
-4.754567,-0.041246,-4.640071,-0.226946
-4.754392,-0.022474,-4.639631,-0.228448
-4.754216,-0.003634,-4.639192,-0.22083
-4.75404,0.014956,-4.638752,-0.214677
-4.753864,0.033639,-4.638312,-0.210296
-4.753688,0.04393,-4.637873,-0.208043
-4.753512,0.047551,-4.637433,-0.210534
-4.753336,0.046312,-4.636993,-0.215966
-4.75316,0.045037,-4.636554,-0.221723
-4.752985,0.043779,-4.636114,-0.225717
-4.752809,0.042525,-4.635674,-0.227938
-4.752633,0.039438,-4.635234,-0.228525
-4.752457,0.020432,-4.634795,-0.226568
-4.752281,-0.001314,-4.634355,-0.221998
-4.752105,-0.02373,-4.633915,-0.22088
-4.751929,-0.045952,-4.633476,-0.223378
-4.751753,-0.068301,-4.633036,-0.228504
-4.751578,-0.090345,-4.632596,-0.232113
-4.751402,-0.103164,-4.632157,-0.234998
-4.751226,-0.105763,-4.631717,-0.235598
-4.75105,-0.105564,-4.631278,-0.231765
-4.750874,-0.105364,-4.630838,-0.225442
-4.750699,-0.105165,-4.630398,-0.2306
-4.750523,-0.104967,-4.629958,-0.243808
-4.750347,-0.104768,-4.629519,-0.260617
-4.750171,-0.086499,-4.629079,-0.256946
-4.749995,-0.065491,-4.628639,-0.248892
-4.749819,-0.044374,-4.6282,-0.241422
-4.749643,-0.023821,-4.62776,-0.23828
-4.749467,-0.002684,-4.62732,-0.236926
-4.749291,0.018504,-4.626881,-0.239825
-4.749115,0.03442,-4.626441,-0.244812
-4.74894,0.036906,-4.626001,-0.250421
-4.748764,0.039414,-4.625562,-0.255201
-4.748588,0.04194,-4.625122,-0.260046
-4.748412,0.044467,-4.624682,-0.261393
-4.748236,0.046976,-4.624243,-0.257973
-4.74806,0.045592,-4.623803,-0.252885
-4.747885,0.032638,-4.623363,-0.252246
-4.747709,0.01434,-4.622923,-0.253238
-4.747533,-0.003865,-4.622484,-0.254116
-4.747357,-0.022286,-4.622044,-0.251386
-4.747181,-0.040613,-4.621604,-0.247894
-4.747005,-0.057438,-4.621165,-0.245203
