UV 1_280_ml,UV 1_280_mAU,UV 2_485_ml,UV 2_485_mAU
-0.540213,-0.422031,-0.449229,-0.171871
-0.540072,-0.421246,-0.448875,-0.175415
-0.53993,-0.42046,-0.448521,-0.178338
-0.539788,-0.423965,-0.448166,-0.180618
-0.539647,-0.428482,-0.447812,-0.178651
-0.539505,-0.433016,-0.447458,-0.176567
-0.539363,-0.437562,-0.447104,-0.176827
-0.539221,-0.442116,-0.446749,-0.182779
-0.53908,-0.44639,-0.446395,-0.192907
-0.538938,-0.45045,-0.446041,-0.192254
-0.538796,-0.45351,-0.445687,-0.182291
-0.538655,-0.44956,-0.445332,-0.152297
-0.538513,-0.439524,-0.444978,-0.131232
-0.538371,-0.429445,-0.444624,-0.11524
-0.53823,-0.419349,-0.444269,-0.130334
-0.538088,-0.409212,-0.443915,-0.145218
-0.537946,-0.399044,-0.443561,-0.159745
-0.537805,-0.388855,-0.443207,-0.170923
-0.537663,-0.380207,-0.442852,-0.180708
-0.537521,-0.374039,-0.442498,-0.187622
-0.537379,-0.373696,-0.442144,-0.191407
-0.537238,-0.373357,-0.44179,-0.191893
-0.537096,-0.37302,-0.441435,-0.191621
-0.536954,-0.37269,-0.441081,-0.190788
-0.536813,-0.372355,-0.440727,-0.188412
-0.536671,-0.372014,-0.440372,-0.187245
-0.536529,-0.376696,-0.440018,-0.186937
-0.536388,-0.384207,-0.439664,-0.19065
-0.536246,-0.403703,-0.43931,-0.194851
-0.536104,-0.423255,-0.438955,-0.199508
-0.535962,-0.44288,-0.438601,-0.204608
-0.535821,-0.462244,-0.438247,-0.209856
-0.535679,-0.481623,-0.437892,-0.209593
-0.535537,-0.50152,-0.437538,-0.205992
-0.535396,-0.513325,-0.437184,-0.197107
-0.535254,-0.517768,-0.43683,-0.192115
-0.535112,-0.504491,-0.436475,-0.189363
-0.534971,-0.488071,-0.436121,-0.193487
-0.534829,-0.471848,-0.435767,-0.196174
-0.534687,-0.455551,-0.435413,-0.197145
-0.534546,-0.439198,-0.435058,-0.1951
-0.534404,-0.423063,-0.434704,-0.192671
-0.534262,-0.413485,-0.43435,-0.191534
-0.53412,-0.421692,-0.433995,-0.19122
-0.533979,-0.440539,-0.433641,-0.191612
-0.533837,-0.465886,-0.433287,-0.190949
-0.533695,-0.490909,-0.432933,-0.189941
-0.533554,-0.516005,-0.432578,-0.188292
-0.533412,-0.541255,-0.432224,-0.188583
-0.53327,-0.566671,-0.43187,-0.190011
-0.533129,-0.590864,-0.431516,-0.193312
-0.532987,-0.596665,-0.431161,-0.197602
-0.532845,-0.598343,-0.430807,-0.203677
-0.532703,-0.594366,-0.430453,-0.210863
-0.532562,-0.590357,-0.430098,-0.218039
-0.53242,-0.586333,-0.429744,-0.218468
-0.532278,-0.58227,-0.42939,-0.217226
-0.532137,-0.578225,-0.429036,-0.213697
-0.531995,-0.5742,-0.428681,-0.21178
-0.531853,-0.564657,-0.428327,-0.210459
-0.531712,-0.553816,-0.427973,-0.21004
-0.53157,-0.541731,-0.427619,-0.209334
-0.531428,-0.529694,-0.427264,-0.208358
-0.531287,-0.517696,-0.42691,-0.207236
-0.531145,-0.505557,-0.426556,-0.206463
-0.531003,-0.493485,-0.426201,-0.206962
-0.530861,-0.48163,-0.425847,-0.207784
-0.53072,-0.4905,-0.425493,-0.208825
-0.530578,-0.512656,-0.425139,-0.206999
-0.530436,-0.541722,-0.424784,-0.204764
-0.530295,-0.570824,-0.42443,-0.201957
-0.530153,-0.599513,-0.424076,-0.201759
-0.530011,-0.628162,-0.423721,-0.202828
-0.52987,-0.656807,-0.423367,-0.204681
-0.529728,-0.685922,-0.423013,-0.201695
-0.529586,-0.698372,-0.422659,-0.19142
-0.529444,-0.685327,-0.422304,-0.180218
-0.529303,-0.667456,-0.42195,-0.171137
-0.529161,-0.647866,-0.421596,-0.179971
-0.529019,-0.628533,-0.421242,-0.189283
-0.528878,-0.609023,-0.420887,-0.199117
-0.528736,-0.589296,-0.420533,-0.203011
-0.528594,-0.569881,-0.420179,-0.204907
-0.528453,-0.558701,-0.419824,-0.206317
-0.528311,-0.587009,-0.41947,-0.207613
-0.528169,-0.616069,-0.419116,-0.20709
-0.528028,-0.64577,-0.418762,-0.206607
-0.527886,-0.674703,-0.418407,-0.206222
-0.527744,-0.703521,-0.418053,-0.209348
-0.527602,-0.732296,-0.417699,-0.214594
-0.527461,-0.759046,-0.417345,-0.219579
-0.527319,-0.783321,-0.41699,-0.222541
-0.527177,-0.772945,-0.416636,-0.221714
-0.527036,-0.747323,-0.416282,-0.221421
-0.526894,-0.721055,-0.415927,-0.221785
-0.526752,-0.694647,-0.415573,-0.227687
-0.526611,-0.667903,-0.415219,-0.233098
